run_accession	study_accession	experiment_title	fastq_bytes	fastq_md5	fastq_ftp	sample_accession	sample_alias	sample_title
SRR9849603	PRJNA556980	Illumina MiSeq sequencing: aguamiel rep 2	14690380;24503447	322f9f4b8d45f8670055dcdc54fd3153;321d1a914c43b271044a0a5a63b24a08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/003/SRR9849603/SRR9849603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/003/SRR9849603/SRR9849603_2.fastq.gz	SAMN12385839	fermentation metagenome aguamiel	Metagenome or environmental sample from fermentation metagenome
SRR9849604	PRJNA556980	Illumina MiSeq sequencing: pulque rep 1	10793167;17217666	739c80fafc01f4703bfc16325dec4d31;79c64d866f8d84281bc4af91c68ef8cb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/004/SRR9849604/SRR9849604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/004/SRR9849604/SRR9849604_2.fastq.gz	SAMN12385838	fermentation metagenome pulque	Metagenome or environmental sample from fermentation metagenome
SRR9853510	PRJNA556980	Illumina MiSeq sequencing: contrapunta rep 1 its	15915010;24134889	ec474e0072e37f3b5586598198da179e;d029e28d1e72069e99b52ab8443dd748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/000/SRR9853510/SRR9853510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/000/SRR9853510/SRR9853510_2.fastq.gz	SAMN12385840	fermentation metagenome contrapunta	Metagenome or environmental sample from fermentation metagenome
SRR9849602	PRJNA556980	Illumina MiSeq sequencing: aguamiel rep 1	11858000;19814021	5d34af32aa707dd552146133c9ccb978;24ddd490319af5a08240b4a0507505df	ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/002/SRR9849602/SRR9849602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/002/SRR9849602/SRR9849602_2.fastq.gz	SAMN12385839	fermentation metagenome aguamiel	Metagenome or environmental sample from fermentation metagenome
SRR9849605	PRJNA556980	Illumina MiSeq sequencing: pulque rep 2	10876920;18003338	edc0f2c42e7cdd9a65c6d81ec9a981d7;f11e0d60428ecb55c0fc4db9302dd80e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/005/SRR9849605/SRR9849605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/005/SRR9849605/SRR9849605_2.fastq.gz	SAMN12385838	fermentation metagenome pulque	Metagenome or environmental sample from fermentation metagenome
SRR9853512	PRJNA556980	Illumina MiSeq sequencing: pulque rep 1 its	17497282;25425740	4c02c845a1784205c8cedd7c153b72c6;c71748fd68e069deda8e881096cea05b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/002/SRR9853512/SRR9853512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/002/SRR9853512/SRR9853512_2.fastq.gz	SAMN12385838	fermentation metagenome pulque	Metagenome or environmental sample from fermentation metagenome
SRR9853513	PRJNA556980	Illumina MiSeq sequencing: pulque rep 2 its	7497963;10449478	518502576c32b5064eed6867d9ebaa17;a88ae5b0e4fb78b8ffafac2eb6b364b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/003/SRR9853513/SRR9853513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/003/SRR9853513/SRR9853513_2.fastq.gz	SAMN12385838	fermentation metagenome pulque	Metagenome or environmental sample from fermentation metagenome
SRR9849606	PRJNA556980	Illumina MiSeq sequencing: contrapunta rep 1	12334575;19983364	77d3e84f03628c68a2c82ab85605edfc;40b914ab912c8cb0b5af588aee9abf32	ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/006/SRR9849606/SRR9849606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/006/SRR9849606/SRR9849606_2.fastq.gz	SAMN12385840	fermentation metagenome contrapunta	Metagenome or environmental sample from fermentation metagenome
SRR9849607	PRJNA556980	Illumina MiSeq sequencing: contrapunta rep 2	11200219;18439540	fac52d515edfeea4f56b9b31e7a4e508;77643fada1069e92864673a74fa6405b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/007/SRR9849607/SRR9849607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR984/007/SRR9849607/SRR9849607_2.fastq.gz	SAMN12385840	fermentation metagenome contrapunta	Metagenome or environmental sample from fermentation metagenome
SRR9853511	PRJNA556980	Illumina MiSeq sequencing: contrapunta rep 2 its	4316140;6290590	82165d3bd10d55972ab90f05da2baceb;1b4b1e78e1087d5f799659de58b82ce7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/001/SRR9853511/SRR9853511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/001/SRR9853511/SRR9853511_2.fastq.gz	SAMN12385840	fermentation metagenome contrapunta	Metagenome or environmental sample from fermentation metagenome
SRR9853514	PRJNA556980	Illumina MiSeq sequencing: aguamiel rep 1 its	28270303;41321054	27ef72f034121fd6998e4e19c1b3d2a9;32ad8bee53cd417ec416d652047ccda2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/004/SRR9853514/SRR9853514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/004/SRR9853514/SRR9853514_2.fastq.gz	SAMN12385839	fermentation metagenome aguamiel	Metagenome or environmental sample from fermentation metagenome
SRR9853515	PRJNA556980	Illumina MiSeq sequencing: aguamiel rep 2 its	14780327;21830895	9967802cf0b5f1fd122d5a7ad9aaccf1;5a281580724aa4e436bdad24d2755f11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/005/SRR9853515/SRR9853515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/005/SRR9853515/SRR9853515_2.fastq.gz	SAMN12385839	fermentation metagenome aguamiel	Metagenome or environmental sample from fermentation metagenome
